Started Parsing raw log files
Number of files: 2
Opened 1.log.log
NewTask 2 | added to participant #1
MoveBlock 531360588 | added to participant #1
MoveBlock 531360588 | added to participant #1
MoveBlock 531360588 | added to participant #1
MoveBlock 531360588 | added to participant #1
MoveBlock 531360588 | added to participant #1
MoveBlock 531360588 | added to participant #1
EndDragBlock 531360588 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 638838388 | added to participant #1
StartDragBlock 638838388 | added to participant #1
MoveBlock 638838388 | added to participant #1
MouseClick | added to participant #1
MoveBlock 638838388 | added to participant #1
MoveBlock 638838388 | added to participant #1
MoveBlock 638838388 | added to participant #1
MoveBlock 638838388 | added to participant #1
MoveBlock 638838388 | added to participant #1
MoveBlock 638838388 | added to participant #1
MoveBlock 638838388 | added to participant #1
MoveBlock 638838388 | added to participant #1
MoveBlock 638838388 | added to participant #1
MoveBlock 638838388 | added to participant #1
MoveBlock 638838388 | added to participant #1
MoveBlock 638838388 | added to participant #1
MoveBlock 638838388 | added to participant #1
MoveBlock 638838388 | added to participant #1
MoveBlock 638838388 | added to participant #1
MoveBlock 638838388 | added to participant #1
MoveBlock 638838388 | added to participant #1
EndDragBlock 638838388 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 417225282 | added to participant #1
StartDragBlock 417225282 | added to participant #1
MoveBlock 417225282 | added to participant #1
MouseClick | added to participant #1
MoveBlock 417225282 | added to participant #1
MoveBlock 417225282 | added to participant #1
MoveBlock 417225282 | added to participant #1
MoveBlock 417225282 | added to participant #1
MoveBlock 417225282 | added to participant #1
MoveBlock 417225282 | added to participant #1
MoveBlock 417225282 | added to participant #1
MoveBlock 417225282 | added to participant #1
MoveBlock 417225282 | added to participant #1
MoveBlock 417225282 | added to participant #1
MoveBlock 417225282 | added to participant #1
MoveBlock 417225282 | added to participant #1
MoveBlock 417225282 | added to participant #1
MoveBlock 417225282 | added to participant #1
MoveBlock 417225282 | added to participant #1
EndDragBlock 417225282 | added to participant #1
MouseReleased | added to participant #1
StartDragBlock 417225282 | added to participant #1
MoveBlock 417225282 | added to participant #1
MouseClick | added to participant #1
MoveBlock 417225282 | added to participant #1
MoveBlock 417225282 | added to participant #1
MoveBlock 417225282 | added to participant #1
